moduleId;semester;averageRatings;totalRatings;averageGrades;totalGrades;passedGrades;failedGrades
50820164;FS20;4.0;4;0;0;0;0
50820164;FS19;4.22;18;4.86;110;96;14
50820164;FS18;4.71;7;5.01;151;145;6
50820164;FS17;0;0;4.78;159;144;15
50820164;HS18;4.25;4;0;0;0;0
50820164;HS17;4.5;2;0;0;0;0
50820164;HS19;4.4;10;0;0;0;0
50030855;FS20;0;0;0;0;0;0
50030855;FS19;3.04;24;4.78;189;168;21
50030855;FS18;2.0;12;4.66;227;198;29
50030855;FS17;0;0;4.66;261;221;40
50030855;FS16;0;0;4.54;290;246;44
50030855;FS15;0;0;4.51;219;182;37
50030855;FS14;0;0;4.14;972;664;308
50030855;FS13;0;0;4.2;1028;721;307
50030855;FS12;0;0;4.18;892;615;277
50030855;FS11;0;0;4.47;896;681;215
50030855;HS18;3.56;9;0;0;0;0
50030857;FS20;1.78;9;0;0;0;0
50030857;FS19;2.39;18;4.61;120;103;17
50030857;FS18;3.29;7;4.48;184;164;20
50030857;FS17;0;0;4.54;216;171;45
50030857;FS16;0;0;4.22;244;180;64
50030857;FS15;0;0;4.48;166;133;33
50030857;FS14;0;0;3.87;779;499;280
50030857;FS13;0;0;3.67;853;496;357
50030857;FS12;0;0;3.92;827;506;321
50030857;FS11;0;0;3.9;702;435;267
50030857;HS19;3.0;1;0;0;0;0
50030857;HS18;3.83;6;0;0;0;0
50030857;HS17;3.5;4;0;0;0;0
50030886;FS20;3.83;6;0;0;0;0
50030886;FS19;3.9;21;4.51;141;118;23
50030886;FS18;4.38;8;4.63;184;166;18
50030886;FS17;0;0;4.69;205;189;16
50030886;FS16;0;0;4.54;223;184;39
50030886;FS15;0;0;4.87;173;161;12
50030886;FS14;0;0;4.19;699;470;229
50030886;FS13;0;0;4.23;728;528;200
50030886;FS12;0;0;4.27;687;525;162
50030886;FS11;0;0;4.42;614;467;147
50030886;HS19;1.0;1;0;0;0;0
50030886;HS18;4.14;7;0;0;0;0
50030886;HS17;4.0;2;0;0;0;0
50030887;FS20;1.0;2;0;0;0;0
50030887;FS19;3.12;24;4.57;173;153;20
50030887;FS18;1.67;6;4.25;210;166;44
50030887;FS17;0;0;4.3;212;169;43
50030887;FS16;0;0;4.58;267;233;34
50030887;FS15;0;0;4.53;198;167;31
50030887;FS14;0;0;4.01;877;619;258
50030887;FS13;0;0;4.13;917;642;275
50030887;FS12;0;0;4.22;843;579;264
50030887;FS11;0;0;4.25;752;541;211
50030887;HS19;2.0;2;0;0;0;0
50030887;HS18;2.91;11;0;0;0;0
